City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hobbs,US,32.7026,-103.136,59.59,18,0,4.0,clear sky
80,Zhigalovo,RU,54.8097,105.1578,2.16,99,100,2.57,overcast clouds
81,Kearney,US,40.6995,-99.0815,50.99,35,20,7.0,few clouds
82,Walvis Bay,NA,-22.9575,14.5053,67.15,72,100,3.44,overcast clouds
83,Coquimbo,CL,-29.9533,-71.3436,63.7,85,22,4.97,few clouds
84,Vardo,NO,70.3705,31.1107,35.4,89,100,23.49,overcast clouds
85,Plyussa,RU,58.4308,29.3654,25.92,93,100,11.03,overcast clouds
86,Minab,IR,27.1467,57.0801,53.1,68,0,1.95,clear sky
87,Hereford,GB,52.0568,-2.7148,39.99,95,0,2.66,clear sky
88,Grindavik,IS,63.8424,-22.4338,34.27,80,75,31.07,light shower snow
89,Moose Factory,CA,51.2585,-80.6094,-13.0,77,0,5.75,clear sky
90,Oum Hadjer,TD,13.2954,19.6966,73.45,17,99,10.58,overcast clouds
91,Newton,US,42.337,-71.2092,37.11,57,100,3.0,overcast clouds
92,College,US,64.8569,-147.8028,15.22,83,75,0.0,broken clouds
93,Murdochville,CA,48.9583,-65.5006,4.08,90,100,1.9,overcast clouds
94,Pensacola,US,30.4213,-87.2169,55.85,71,0,3.44,clear sky
95,Kodiak,US,57.79,-152.4072,35.11,75,20,5.75,few clouds
96,Hilo,US,19.7297,-155.09,80.33,80,75,8.05,broken clouds
97,Myitkyina,MM,25.3833,97.4,57.63,98,100,2.04,overcast clouds
98,Pangnirtung,CA,66.1451,-65.7125,-22.61,78,94,4.09,overcast clouds
99,Saint-Pierre,RE,-21.3393,55.4781,77.29,83,75,2.3,broken clouds
100,Kokrajhar,IN,26.399,90.2718,56.23,96,25,6.24,scattered clouds
101,Cape Town,ZA,-33.9258,18.4232,72.01,69,0,4.0,clear sky
102,Faya,SA,18.3851,42.4509,51.91,67,55,1.63,broken clouds
103,Mahebourg,MU,-20.4081,57.7,79.09,89,40,9.22,scattered clouds
104,Hermanus,ZA,-34.4187,19.2345,69.91,84,100,14.99,overcast clouds
105,Nome,US,64.5011,-165.4064,-0.33,60,0,3.44,clear sky
106,Khatanga,RU,71.9667,102.5,-10.75,98,100,5.93,overcast clouds
107,San Fernando,PH,15.0286,120.6898,79.14,67,67,5.39,broken clouds
108,Caravelas,BR,-17.7125,-39.2481,74.25,90,0,5.3,clear sky
109,Tasiilaq,GL,65.6145,-37.6368,19.56,67,54,9.42,broken clouds
110,Hasaki,JP,35.7333,140.8333,39.6,47,100,6.62,overcast clouds
111,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,40,14.97,scattered clouds
112,Nanning,CN,22.8167,108.3167,52.25,64,100,2.89,overcast clouds
113,Mar Del Plata,AR,-38.0023,-57.5575,74.08,82,0,5.01,clear sky
114,Basco,PH,20.4487,121.9702,70.84,72,83,10.56,broken clouds
115,Klaksvik,FO,62.2266,-6.589,47.32,87,100,42.95,overcast clouds
116,Aklavik,CA,68.2191,-135.0107,-10.48,94,100,2.66,overcast clouds
117,Cayenne,GF,4.9333,-52.3333,75.24,91,0,0.0,clear sky
118,Mackay,AU,-21.15,149.2,86.68,61,40,18.41,scattered clouds
119,Hami,CN,42.8,93.45,24.13,49,100,0.25,overcast clouds
120,Half Moon Bay,US,37.4636,-122.4286,66.15,66,0,3.44,haze
121,Snezhnogorsk,RU,69.1933,33.2531,31.78,93,100,23.24,light snow
122,Kaeo,NZ,-35.1,173.7833,77.32,59,0,12.41,clear sky
123,Mujiayingzi,CN,42.1167,118.7833,8.98,45,0,7.0,clear sky
124,Hay River,CA,60.8156,-115.7999,1.38,85,100,3.44,light snow
125,Manzhouli,CN,49.6,117.4333,-8.52,94,24,3.22,few clouds
126,Sibolga,ID,1.7427,98.7792,78.04,85,82,2.68,broken clouds
127,Faanui,PF,-16.4833,-151.75,77.41,87,100,21.43,moderate rain
128,Rocha,UY,-34.4833,-54.3333,63.3,93,0,5.57,clear sky
129,Bereda,ES,43.2686,-7.5406,45.91,100,0,2.82,clear sky
130,Vuktyl,RU,63.8567,57.3094,5.09,80,58,13.87,broken clouds
